OccupancyNumber,RoomID,EmployeeID,CustomerIDCard,FirstDate,LastDate
100001,402,101115,17472400,2018-02-04,2018-02-11
100002,203,101101,12134943,2018-03-06,2018-03-12
100003,203,101106,20348224,2018-05-11,2018-05-16
100004,401,101107,15685710,2018-05-13,2018-05-24
100005,105,101113,20071611,2018-06-18,2018-06-22
100006,404,101103,14449457,2018-06-24,2018-06-30
100007,205,101110,14449457,2018-07-02,2018-07-06
100008,302,101109,12837434,2018-07-05,2018-07-11
100009,201,101110,24040614,2018-07-15,2018-07-21
100010,103,101103,20543913,2019-01-22,2019-02-03
100011,305,101108,20071611,2019-01-23,2019-01-29
100012,405,101115,23655489,2019-01-28,2019-02-04
100013,505,101103,12567646,2019-02-25,2019-03-04
100014,101,101112,19274376,2019-03-03,2019-03-08
100015,501,101101,15852779,2019-03-05,2019-03-10
100016,202,101103,23655489,2019-03-28,2018-03-31
100017,204,101111,23028056,2019-04-30,2019-05-04
100018,102,101104,18293083,2019-05-22,2019-06-01
100019,202,101112,20543913,2019-05-26,2019-06-04
100020,103,101101,18059604,2019-06-07,2019-06-14
100021,105,101111,24040614,2019-06-07,2019-06-14
100022,603,101104,12926387,2019-06-15,2019-06-24
100023,502,101111,12926387,2019-07-21,2019-07-25
100024,302,101104,14994408,2019-08-08,2019-08-17
100025,403,101111,15685710,2019-08-17,2019-08-20
100026,501,101113,15852779,2019-08-17,2019-08-29
100027,201,101102,23028056,2019-08-19,2019-09-05
100028,602,101107,18270465,2019-09-03,2019-09-06
100029,402,101115,12567646,2019-09-04,2019-09-19
100030,102,101108,18270465,2019-10-03,2019-10-11
100031,204,101112,14994408,2019-10-11,2019-10-18
100032,104,101115,20348224,2019-10-15,2019-10-21
100033,205,101113,17472400,2019-11-17,2019-11-19
100034,403,101105,12837434,2019-11-20,2019-12-04
100035,503,101111,12655481,2019-12-21,2019-12-25
100036,303,101101,10330509,2019-12-25,2018-12-29
100037,101,101110,10330509,2020-01-01,2020-01-06
100038,601,101103,17383880,2020-01-04,2020-01-11
100039,504,101109,10419721,2020-01-07,2020-01-09
100040,401,101115,12655481,2020-01-13,2020-01-18
100041,304,101108,12134943,2020-01-15,2020-01-21
100042,301,101115,10435012,2020-02-01,2020-02-06
100043,104,101108,12823723,2020-02-04,2020-02-06
100044,404,101112,18059604,2020-02-07,2020-02-10
100045,305,101102,17383880,2020-02-21,2020-03-01
100046,301,101106,10419721,2020-02-26,2020-03-03
100047,304,101110,10435012,2020-03-09,2020-03-12
100048,405,101113,18293083,2020-04-21,2020-04-27
100049,303,101101,12823723,2020-06-09,2020-06-18
